iter	Logloss
0	0.5925943041
1	0.5360107928
2	0.4987130097
3	0.4642827645
4	0.4437195576
5	0.4287731779
6	0.4193894295
7	0.4139995031
8	0.4079972077
9	0.3999095963
10	0.3932661293
11	0.3880613706
12	0.3872896622
13	0.3848732659
14	0.3812076923
15	0.3785790723
16	0.376587609
17	0.3749869404
18	0.3717661422
19	0.3680539952
20	0.3677476077
21	0.3647180666
22	0.362835585
23	0.3589541564
24	0.3561153842
25	0.3540273582
26	0.353539377
27	0.3502829004
28	0.3487287481
29	0.3482135023
30	0.3468162754
31	0.343109746
32	0.3405572082
33	0.3378973954
34	0.3362166989
35	0.3341339603
36	0.3311640359
37	0.3298293907
38	0.327099574
39	0.3250946358
40	0.3230657032
41	0.3203320655
42	0.3203112164
43	0.3176720808
44	0.3163932225
45	0.3146814195
46	0.3140770958
47	0.3140493726
48	0.3126670285
49	0.3105205416
50	0.3077224665
51	0.307003703
52	0.3052686255
53	0.304117973
54	0.3018805437
55	0.3008318345
56	0.2991868198
57	0.2991641716
58	0.2977328795
59	0.2977026791
60	0.2959740609
61	0.2953295022
62	0.2944253086
63	0.2935894278
64	0.2926623455
65	0.2922673283
66	0.2916809022
67	0.2911217686
68	0.291107045
69	0.2902733125
70	0.2902548994
71	0.2885889739
72	0.2885755461
73	0.2876747249
74	0.2876608248
75	0.2868233867
76	0.2868069156
77	0.2855990934
78	0.2843221477
79	0.283254729
80	0.2817303255
81	0.2806384254
82	0.2806206989
