iter	Passed	Remaining
0	1	1519
1	3	1774
2	4	1606
3	5	1457
4	7	1484
5	8	1383
6	10	1438
7	11	1368
8	11	1320
9	13	1365
10	15	1402
11	16	1371
12	17	1328
13	18	1301
14	19	1293
15	20	1273
16	21	1270
17	22	1251
18	24	1276
19	26	1304
20	27	1284
21	29	1307
22	30	1294
23	31	1288
24	33	1310
25	35	1320
26	36	1300
27	37	1317
28	39	1314
29	40	1296
30	41	1290
31	42	1296
32	44	1305
33	45	1302
34	46	1290
35	48	1287
36	50	1302
37	51	1291
38	52	1303
39	54	1314
40	56	1319
41	58	1324
42	58	1309
43	60	1319
44	62	1323
45	63	1321
46	65	1318
47	65	1306
48	67	1313
49	69	1324
50	72	1353
51	74	1365
52	77	1379
53	79	1390
54	81	1402
55	84	1416
56	86	1427
57	87	1416
58	89	1424
59	90	1425
60	93	1434
61	94	1426
62	96	1432
63	97	1433
64	99	1437
65	101	1439
66	103	1448
67	105	1451
68	106	1440
69	108	1443
70	109	1433
71	111	1436
72	112	1427
73	114	1426
74	114	1416
75	116	1419
76	117	1409
77	119	1410
78	121	1411
79	122	1413
80	124	1415
81	126	1416
82	127	1407
